Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Wang(2012)	Wang(2012)_MOX	10	10	4500	3600		139500	133900	
Xu(2013)	Xu(2013)_MA1	15	15	9.26	0.38		11.47	2.93	
Xu(2013)	Xu(2013)_MA2	15	15	8.49	0.66		12.5	2.65	
Bao(2019)	Bao(2019)_MOX	10	10	8.176470588	0.3823529412		8.5	0.3823529412	
Huang(2019)	Huang(2019)_EA	48	56	9.62	0.95		10.04	1.05	
Wang(2020)	Wang(2020)_EA1	12	12	0.01196808511			0.05526315789		
Wang(2020)	Wang(2020)_EA2	12	12	0.01196808511			0.9276315789		
Wang(2021)	Wang(2021)_EA	29	29	3.23			2		
