Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Xu(2013)	Xu(2013)_MA1	15	15	7.17	0.48		6.81	1.72	
Xu(2013)	Xu(2013)_MA2	15	15	6.8	0.75		5.34	1.67	
Jang(2020)	Jang(2020)_MA	10	9	0.8508	0.451		0.0147	0.0146	
Wang(2020)	Wang(2020)_EA1	12	12	0	0	0	0.05849582173	0.1736875462	0.05013927577
Wang(2020)	Wang(2020)_EA2	12	12	0	0	0	0.6852367688	0.4342188654	0.1253481894
Wang(2021)	Wang(2021)_EA	29	29	7.29			612.78		
