Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Xu(2013)	Xu(2013)_MA1	15	15	7.16	0.42		6.42	0.78	
Xu(2013)	Xu(2013)_MA2	15	15	7.43	0.65		7.54	0.27	
Li(2020)	Li(2020)_MOX	10	10	0.3461100569	0.0440227704		0.03036053131	0.01669829222	
